Title:,Back 4 Blood Card Compendium & Codex,,,On Desktop? Check out Filter Views,Note: Versus and Campaign Cards to be separately listed even if they have the same effects,,,
Campaign,Offense,Fortune,No,Shell Carrier,"+30% Shotgun Ammo Capacity, +10% Damage with Shotguns.",Accomplishment,,
Swarm,Offense,Fortune,No,Shell Carrier,"+30% Shotgun Ammo Capacity, +10% Damage with Shotguns.",Available from Start,-,500
Campaign,Utility,Reflex,No,Shooting Gloves,"+25% Weapon Swap Speed, +15% Recoil Control, +15% Accuracy",The Crow's Nest,-,N/A
Swarm,Utility ,Reflex,No,Shooting Gloves,"+25% Weapon Swap Speed, +15% Recoil Control, +15% Accuracy",Available from Start,Melee,500
Campaign,Defense,Fortune ,No,Shoulder Bag,+2 Support Inventory,The Clinic (2),-,N/A
Swarm,Defense,Fortune ,No,Shoulder Bag,+2 Support Inventory,Available from Start,-,N/A
Campaign,Offense,Reflex,No,Shredder,Each bullet hit causes the target to take 1% increased damage for 3 Seconds (Stacks up to 15%).,The Crow's Nest (3),-,N/A
Swarm,Offense,Reflex,No,Shredder,Each bullet hit causes the target to take 1% increased damage for 3 Seconds (Stacks up to 15%).,Available from Start,-,0
Corruption,Ridden,Mutation,-,Shredders,"This subterranean Warped Ridden launches adhesive tendrils that pull Cleaners toward it, applying the Pus Covered status.",N/A,-,0
Corruption,No Alarms,Challenge,-,Silence is Golden,"Complete the level without triggering any birds, Snitches, Car Alarms or Alarmed doors to earn 500 Copper.",N/A,-,500
Corruption,No Alarms,Challenge,-,Silence is Golden - Survival,"Complete the level with all cleaners alive and without triggering any birds, Snitches, Car Alarms or Alarmed doors to earn 500 Copper.",N/A,-,N/A
Corruption,No Alarms,Challenge,-,Silence is Golden - Survival (+),"Complete the level with all cleaners alive and without triggering any birds, Snitches, Car Alarms or Alarmed doors to earn 500 Copper. +Bonus Supply Points",N/A,-,500
Corruption,No Alarms,Challenge,-,Silence is Golden (+),"Complete the level without triggering any birds, Snitches, Car Alarms or Alarmed doors to earn 500 Copper. +Bonus Supply Points",N/A,-,N/A
Campaign,Offense,Discipline ,No,Silver Bullets,"+10% Bullet Damage, +15% Effective Range",The Stilts (2) / Bot Deck,-,500
Swarm,Offense,Discipline ,No,Silver Bullets,"+10% Bullet Damage, +15% Effective Range",Available from Start,-,N/A
Corruption,Collect,Challenge,-,Skull Totems,Find Skull Totems and cash them in at any exit.,N/A,-,N/A
Corruption,Ridden,Cultist,-,Slasher,Fast moving and armored. Slashers claws will apply a stacking Bleed effect to its victims. Bleed (Bleed causes damage over time that increases in severity with each additional attack.),N/A,-,N/A
Burn,Defense,Burn,Yes,Slippery when Wet,Team Effects: Each Cleaner gains the Breakout ability and reduces its cooldown by 50%.,Roving Merchants,Weapon,500
Campaign,Offense ,Reflex,No,Slugger,"+5 Health, +10% Melee Stamina Efficiency, +20% Melee Attack Speed, +10% Bow Stamina Efficiency, +20% Bow Attack Speed",Grant's Brew House,Weapon,N/A
Swarm,Offense ,Reflex,No,Slugger,"+5 Health, +10% Melee Stamina Efficiency, +20% Melee Attack Speed, +10% Bow Stamina Efficiency, +20% Bow Attack Speed",Available from Start,Sunder,500
Corruption,Event,Trap,-,Sluggish,"Max Stamina is reduced by 20%, Stamina Regeneration is reduced by 20%, Move Speed is reduced by 5%. Warped Chest Team Debuff",N/A,Sunder,N/A
Corruption,Event,Mutation,-,Slumber Party,"The area is infested with Sleepers, stay together and keep your eyes open. More Sleepers Spawn",N/A,-,500
Campaign,Utility,Reflex,No,Smelling Salts,+200% Revive Speed,Grant's Brew House,-,N/A
Swarm,Utility,Reflex,No,Smelling Salts,+200% Revive Speed,Available from Start,-,N/A
Campaign,Talent,Discipline ,Yes,Smells Like Victory,Team Effects: Mutations that you kill have a 50% chance to spawn a healing cloud for the team that lasts for 10 seconds.,Legendary Card Shrine,-,
Corruption,Ridden,Cultist,-,Sniper,Eliminates targets using a Hunting Rifle with a Laser pointer from the relative safety of their hunting blinds.,N/A,-,500
Campaign,Offense ,Brawn,No,Soften Up (Batter Up),"Melee hits cause the target to deal 3% reduced damage, to a maximum of 15% reduced damage.",Fort Hope,,
Swarm,Offense ,Brawn,No,Soften Up (Batter Up),"Melee hits cause the target to deal 3% reduced damage, to a maximum of 15% reduced damage.",Available from Start,Weapon,500
Campaign,Defense,Discipline,No,Sonic Disruptor,Emit a Pulse that deals heavy Stumble damage to nearby enemies and has a chance to knock off armor. Gadget Cost: 75 SMG/Pistol Ammo. REPLACES: Offensive Slot,Duffel Bag Reward / River of Blood Expansion,Weapon,N/A
Campaign,Mobility,Reflex,No,Speed Demon,"+4% Movement Speed while using an SMG, +35% Reload Speed while using an SMG.",The Crow's Nest (4),,
Swarm,Mobility,Reflex,No,Speed Demon,"+4% Movement Speed while using an SMG, +35% Reload Speed while using an SMG.",Available from Start,-,N/A
Campaign,Offense ,Brawn,No,Spiky Bits,"+15 Melee Damage, +20% Damage Resistance while using a Melee weapon, -15% Ammo Capacity",The Stilts (2),-,N/A
Corruption,Ridden,Ridden,-,Sprinting Ridden,"What remains of the Living, aim for the head to put them down quickly.",N/A,-,N/A
Burn,Defense,Burn,Yes,Squad Armor,Team Effects: Grants the team Full Armor Plates.,The Collectors (V.1.000.008),-,1000
Corruption,Ridden,Mutation,-,Stalkers,A grabbed teammate is a dead teammate. Quickly kill the Stalker to free teammates.,N/A,-,1000
Campaign,Mobility,Reflex,No,Stamina,"+10 Stamina, +2.5% Stamina Regen",Available when decks empty / Free Card Shrine,-,1500
Swarm,Mobility,Reflex,No,Stamina,"+10 Stamina, +2.5% Stamina Regen",Available when decks empty / Free Card Shrine,-,1500
Corruption ,Curse,Trial of the Worm,-,Stamina Reduced,Max Stamina and Stamina Regen are reduced by (12.5%) (50%),N/A,-,1500
Campaign,Offense,Reflex,No,Steady Aim,"Every 0.75 seconds you Aim Down Sights gives 10% Recoil Control (up to 3 stacks) +80% Aim Speed, -50% ADS Move Speed",The Stilts (2),-,1500
Swarm,Offense,Reflex,No,Steady Aim,"Every 0.75 seconds you Aim Down Sights gives 10% Recoil Control (up to 3 stacks) +80% Aim Speed, -50% ADS Move Speed",Available from Start,-,1000
Campaign,Talent,Reflex,Yes,Stealthy Passage,"Allows disarming of door alarms, car alarms, and birds. The target will trigger if you are interupted. DISABLES: Quick Slot. Team Effects: Gain 25 Copper per Success",The Collectors (Tunnels of Terror),-,1500
Corruption,Event,Trap,-,Sticky,"Reload speed is reduced by 20%, Weapon swap speed is reduced by 20%. Warped Chest Team Debuff",N/A,-,1500
Campaign,Mobility,Reflex,No,Stimulants,"Pain Meds you apply also grant +20% Stamina Regen, +15% Reload Speed, and +15% Weapon Swap Speed for 60 Seconds.",The Crow's Nest (3),,
Swarm,Mobility,Reflex ,No,Stimulants,"Pain Meds you apply also grant +20% Stamina Regen, +15% Reload Speed, and +15% Weapon Swap Speed for 60 Seconds.",Available from Start,-,N/A
Corruption,Event,Mutation,-,Stinger Hordes,"Huge hordes of Stingers, Stalkers, and Hockers will attack on a timer.",N/A,-,N/A
Corruption,Ridden,Mutation,-,Stingers,Stinger spit toxic spittle from long distancs or high vantage points.,N/A,-,N/A
Campaign,Offense,Reflex,No,Stock Pouch,"+30% Sniper Ammo Capacity, +10% Damage with Sniper Rifles.",Accomplishment,-,N/A
Swarm,Offense,Reflex,No,Stock Pouch,"+30% Sniper Ammo Capacity, +10% Damage with Sniper Rifles.",Available from Start,-,N/A
Corruption ,Curse,Trial of the Worm,-,Strong Locked Doors,Locked Doors are much harder to destroy,N/A,-,N/A
Campaign,Offense ,Brawn,No,Sunder,"Melee hits cause the target to take 3% increased damage, up to a maximum of 15% increased damage. Melee hits that destroy Armor have a chance to create usable Makeshift Armor.",The Clinic (3),-,N/A
Swarm,Offense ,Brawn,No,Sunder,"Melee hits cause the target to take 3% increased damage, up to a maximum of 15% increased damage. Melee hits that destroy Armor have a chance to create usable Makeshift Armor.",Available from Start,-,
Campaign,Mobility,Reflex,No,Superior Cardio,"+20% Stamina, +20% Sprint Efficiency  +5 Health",The Crow's Nest,-,
Swarm,Mobility ,Reflex,No,Superior Cardio,"+50% Sprint Efficiency, +5 Health",Available from Start,-,N/A
Campaign,Utility,Discipline ,No,Support Scavenger,You can sense nearby Support Accessories. More Support Accessories Spawn,The Furnace ,-,N/A
Campaign,Talent,Reflex,No,Suppressing Fire,Damaging Ridden with LMG's or Snipers has a 40% chance to slow Ridden near the target by 50% for 5 seconds.,Duffel Bag Reward / Children of the Worm Expansion,-,500
Campaign,Offense,Fortune,Yes,Surplus Pouches,-5% Health. Team Effects: +1 Team Offensive Accessory,Fort Hope (2),-,N/A
Corruption,Ridden,Mutation,-,Swarmer,Lurking Swarmers send out Clouds of insects from behind cover to track down Cleaners. Burn these pests and hunt down the Swarmer before you're consumed. Pesky (The Swarm Cloud applies a stacking 10% Use Speed Debuff) Culling (Swarm Clouds seek out Cleaners with the lowest amount of Health),N/A,-,500
Campaign,Offense,Discipline ,No,Tactical Vest,"+30% Rifle Ammo Capacity, +10% Damage with Assault Rifles, and LMGs.",Accomplishment,-,500
Swarm,Offense,Discipline ,No,Tactical Vest,"+30% Rifle Ammo Capacity, +10% Damage with Assault Rifles, and LMGs.",Available from Start,-,N/A
Cleaner,Character,Cleaner,Yes,Tala,"Tala's attacks cause targets to bleed. Jeff the 'friendly' Tallboy can be called by anyone with his Whistle. Team Effects: +1 Warped Chest and Whistle spawn in each map. Starts with a Vector, Bow, and a Bait Jar",Expansion 3 - Children of the Worm,Weakpoint,500
Corruption,Event,Mutation,-,Tallboy Hordes,"Huge hordes of Tallboys, Crushers, and Bruisers will attack on a timer.",N/A,Weakpoint,N/A
Corruption,Ridden,Mutation,-,Tallboys,These towering mutations can surge into powerful slam attacks. Aim for the weakspot or use fire to take them out.,N/A,-,500
Corruption,Event,Mutation,-,Tattlers,The mindless babbling of Snitches can be heard constantly here. Work together to avoid notice. More Snitchers Spawn,N/A,-,N/A
Campaign,Offense,Upgrade ,Yes,Team Ammo,"Team Effects: +10% Team Ammo, +1% Damage",Shop,,
Campaign,Defense,Upgrade,Yes,Team Health,Team Effects: +7 Team Health,Shop,-,
Campaign,Loot,Upgrade,Yes,Team Offensive Item Upgrade,"Team Effects: Improves the quality of all Frag, Molotov, Pipe Bomb, Firecracker, Bait Jar, Smoke Grenade and Flashbang accessories.",Shop,,
Campaign,Loot,Upgrade ,Yes,Team Offensive Slot,Team Effects: +1 Team Offensive Inventory,Shop,-,N/A
Campaign ,Loot,Upgrade,Yes,Team Quick Item Upgrade,"Team Effects: Improves the quality of all Defibrillators, Stun Guns, Razorwire, Bear Traps and Ammo Pouches. ",Shop,-,N/A
Campaign,Utility ,Upgrade ,Yes,Team Quick Slot,Team Effects: +1 Team Quick Slot Inventory,Shop,-,500
Campaign,Mobility,Upgrade ,Yes,Team Stamina,"Team Effects: +10% Team Stamina, +5% Team Stamina Regen",Shop,-,500
Campaign ,Loot,Upgrade,Yes,Team Support Item Upgrade,"Team Effects: Improves the quality of all Bandage, First Aid and Painkiller accessories. ",Shop,-,N/A
Campaign ,Loot,Upgrade,Yes,Team Support Slot,Team Effects: +1 Team Support Inventory,Shop,-,500
Corruption,Event,Ridden,,Terrifying Hordes,"Terrifying Hordes have been roaming the area. If a Horde is called, your team accumulates Trauma over time and suffers from negative combat effects. However, Cleaners receive powerful buffs by staying close to each other.",N/A,-,N/A
Corruption ,Finale,Finale,-,The Abomination,Defeat the Ridden Abomination to save Fort Hope. Act 4 Finale,N/A,-,
Corruption ,Finale,Finale,-,The Armory,Gain access to the armory in the Police Station. The hordes are increasingly aggressive here. Act 2 Finale,N/A,-,
Corruption,Event,Environment,-,The Birds,Large flocks of crows have gathered in this area to feast on the dead. Startling them could call the horde down on you. More Birds Spawn,N/A,-,
Corruption,Event,Environment,-,The Dark,The Power is out and a new Snitch mutation has emerged that will instantly call a horde when alerted. Stay quiet and you may make it through. Mutated Snitchers,N/A,-,500
Corruption ,Finale,Finale,-,The Dark Before The Dawn,Reestablish supply lines to the Diner. Act 1 Finale,N/A,-,N/A
Corruption ,Finale,Finale,-,The Devil's Return,Escape across the Evansburgh Bridge toward Finleyville with a horde on your heels. Act 1 Finale,N/A,-,N/A
Corruption,Event,Environment,-,The Fog,Beware of what awaits you in The Fog. Dense Fog,N/A,,
Cleaner Skill,All,Ability,Yes,THE LIGHT! (1),+5% Damage,"""Prophet"" Dan Ability",Cleaner,N/A
Cleaner Skill,All,Ability,Yes,THE LIGHT! (2),+5% Damage Resistance,"""Prophet"" Dan Ability",,
Corruption,Event,Environment,-,The Lockdown,Entering a High Security Area. Many of the Alarmed doors are still intact. Proceed with Caution. More Alarmed Doors,N/A,-,N/A
Corruption,Event,Mutation,-,Timed Reeker Horde,"Reekers horde this area. Act 3, Chapter 3 Event - Constant waves of Reeker Family Spawns",N/A,-,500
Campaign,Utility,Fortune ,Yes,Tool Belts,-10% Health. Team Effects: +1 Team Quick Item Inventory,Roving Merchants: KSC Convoy,-,500
Corruption,Event,Character,-,Toxic Spill,"Your health slowly rots away, but kills grant a small reprieve. Fog and Kills restore some Health and Temporary Health.",N/A,-,N/A
Corruption ,Boon,Trial of the Worm,-,Trauma Recovery,Instantly Recover 25 Trauma,N/A,-,500
Campaign,Offense,Discipline ,No,Trigger Control,Precision Kills with guns grant +0.5% Accuracy until the end of the level.,Fort Hope (3),-,500
Campaign,Defense ,Brawn,No,True Grit,"When you take a single hit for 15 or more damage, recover 10 Health over 5 Seconds.",The Furnace (3),-,N/A
Swarm,Defense ,Brawn,No,True Grit,"When you take a single hit for 15 or more damage, recover 10 Health over 5 Seconds.",Available from Start,-,500
Campaign,Offense,Reflex,No,Tunnel Vision,"Every 0.75 seconds you Aim Down Sights gives 5% Weakspot Damage (up to 3 stacks) +50% Aim Speed, -5% Damage Resistance ",The Crow's Nest (2),-,500
Swarm,Offense,Reflex,No,Tunnel Vision,"Every 0.75 seconds you Aim Down Sights gives 5% Weakspot Damage (up to 3 stacks) +50% Aim Speed, -5% Damage Resistance ",Available from Start,-,500
Campaign,Offense,Brawn,No,Two is One and One is None,You can equip a Primary weapon in your Secondary slot. -25% Swap speed,Paul's Alley (2),,
Swarm,Offense ,Brawn,No,Two is One and One is None,You can equip a Primary weapon in your Secondary slot. -25% Swap speed,Available from Start,,
Campaign,Scavenger,Fortune ,Yes,Ugly Chachkies,Team Effects: Increases the number of Mementos in the world that can be collected for extra Supply Points. This Card does not spawn any Mementos in Trial of the Worm,Duffel Bag Reward / October Update 2022,-,N/A
Campaign,Ability,Brawn,No (Yes),Ultrasonic Wound Therapy,Heal 6 Health over 7 seconds to nearby teammates. Gadget Cost: 40 SMG/Pistol Ammo. REPLACES: Offensive Slot,Duffel Bag Reward / Children of the Worm Expansion,,
Campaign,Ability,Brawn,Yes,Unnatural Healing,"Team Effects: After not being damaged for 4.5 seconds, Regenerate 1 Health per second.",Legendary Card Shrine,,
Corruption ,Ridden,Mutation,-,Urchin,This subterranean Warped Ridden hurls Urchin Mines that damage and slow Cleaners. Damage the Mines to clear them!,N/A,,
Burn,Offense,Burn,Yes,Urgent Care,Team Effects: Each Cleaner restores 15 Health and Trauma.,Roving Merchants,,
Campaign,Utility,Fortune ,No,Utility Belt,+2 Quick slot Inventory,Roving Merchants: Liberators,,
Swarm,Utility,Fortune ,No,Utility Belt,+2 Quick slot Inventory,Available from Start,,
Campaign,Utility,Reflex,No,Utility Scavenger,You can sense nearby Quick Accessories. More Quick Accessories spawn.,Bridge Town,,
Campaign,Defense,Discipline ,No (Yes),Vanguard,"Melee kills heal 1 Health to yourself, and teammates within 10 meters.",Fort Hope (2),,
Swarm,Defense,Discipline ,No (Yes),Vanguard,"Melee kills heal 1 Health to yourself, and teammates within 10 meters.",Available from Start,,
Cleaner Skill,All,Ability,No,VANISH!,Several Smoke Grenades Appear.,"""Prophet"" Dan Ability",,
Corruption ,Curse,Trial of the Worm,-,Vendor Disabled,"The Vendor is disabled",N/A,,
Cleaner Skill,All,Ability,Yes,VIGOR!,Full Health Restored.,"""Prophet"" Dan Ability",,
Cleaner Skill,All,Ability,Yes,VITALITY!,+1 Extra Life,"""Prophet"" Dan Ability",,
Campaign,Defense,Brawn,No,Vitamins,+25 Health ,The Strip,,
Swarm,Defense ,Brawn,No,Vitamins,+25 Health,Available from Start,,
Corruption ,Ridden,Ridden,-,Volatile Ridden,These Ridden have developed an Unstable Cyst on their Skull Cavity. Head Trauma will cause them to Explode Violently.,N/A,,
Corruption,Ridden,Mutation,-,Wailer,This minelayer births Gas Sacs that track any enemies foolish enough to get close. Destory the Gas Sacs before you're overwhelmed.,N/A,,
Cleaner,Character,Cleaner,Yes,Walker,"Mutations that Walker pings are highlighted and deal 10% reduced damage. +10% Damage. Team Effects: +10 Team Health. Starts with an M4 Carbine, Glock 23, and a Frag Grenade",Available from Start,,
Campaign,Utility,Discipline,No,Wasteland Chef,Gain the ability to melee food items to create a Gourmet Dinner or a Mediocre Meal. Using the Combat Knife increases your odds of a Gourmet Dinner.,Duffel Bag Reward / River of Blood Expansion,,
Campaign,Utility ,Discipline ,No,Weapon Scavenger,You can sense nearby Weapons. More weapons spawn,Fort Hope (2),,
Campaign,Ability,Discipline ,Yes,Weaponsmith,Allows the ability to unbolt attachments from weapons outside of Saferooms. Unbolting attachments costs 400 Copper. Team Effects: Addtional copies of Weaponsmith played reduce its cost by 100 Copper.,The Collectors (Tunnels of Terror),,
Campaign,Defense ,Brawn,Yes,Well Fed,Team Effects: +10 Team Health,The Clinic (2) / Bot Deck,,
Swarm,Defense ,Brawn,Yes,Well Fed,Team Effects: +10 Team Health,Available from Start,,
Campaign,Talent,Brawn,Yes,Well Rested,"Team Effects: +20% Team Overheal, +5% Team Healing Efficiency",The Collectors (Tunnels of Terror),,
Campaign,Offense,Reflex,No,Widemouth Magwell,"+30% Reload Speed, -5% Damage Resistance",The Stilts,,
Burn,Utility,Burn,Yes,Windfall,Team Effects: Each Cleaner gains 150 Copper.,Roving Merchants,,
Campaign,Defense,Brawn,No,Wooden Armor,"+30% Trauma Resistance, -100% Fire Resistance",Grant's Brew House (2),,
Campaign,Defense,Fortune ,No,Wounded Animal,Kills while at Critical Health recover 1 Health,Starter Deck,,
Swarm,Defense,Fortune ,No,Wounded Animal,Kills while at Critical Health recover 1 Health,Available from Start,,
